rank,listing_id,addr,lat,lng,floor,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,dist_station,dist_bus_stop,cnt_crosswalk,is_road,cnt_academy,cnt_hospital,cnt_school,cnt_company,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,location_score,success_prob
1082,915872,서울특별시 강남구 논현동,37.507936191,127.0235975161,6층,6000.0,540.0,58.0,388874.5,478718.0,397097.625,401.0259595097292,93.42378189003499,10,0,0,2,1,0,0,5,3,25,0.35586307227117653,0.39024709019310466
1083,921483,서울특별시 강남구 논현동,37.5077687690435,127.023673693717,1층,14000.0,1553.0,41.9,388874.5,478718.0,397097.625,420.71795630081914,82.88949546849923,10,0,0,2,1,0,0,5,4,27,0.35935379835053294,0.39020247322198154
1084,541922,서울특별시 강남구 논현동,37.5099438963,127.0366775661,지하1층,3090.0,150.0,17.0,90486.5,90985.75,88258.75,349.3674470553856,143.47020460725048,12,0,0,0,0,0,0,2,4,18,0.20670293543233828,0.38287439929458117
1085,541926,서울특별시 강남구 논현동,37.5099438963,127.0366775661,지하2층,5129.0,222.0,33.0,90486.5,90985.75,88258.75,349.3674470553856,143.47020460725048,12,0,0,0,0,0,0,2,4,18,0.20670293543233828,0.38287439929458117
1086,541915,서울특별시 강남구 논현동,37.5099438963,127.0366775661,지하1층,4029.0,196.0,23.0,90486.5,90985.75,88258.75,349.3674470553856,143.47020460725048,12,0,0,0,0,0,0,2,4,18,0.20670293543233828,0.38287439929458117
1087,926922,서울특별시 강남구 논현동,37.5099438963,127.0366775661,1층,10640.0,861.0,56.4,90486.5,90985.75,88258.75,349.3674470553856,143.47020460725048,12,0,0,0,0,0,0,2,4,18,0.20670293543233828,0.38287439929458117
1088,543449,서울특별시 강남구 논현동,37.5099438963,127.0366775661,지하1층,3573.0,173.0,20.0,90486.5,90985.75,88258.75,349.3674470553856,143.47020460725048,12,0,0,0,0,0,0,2,4,18,0.20670293543233828,0.38287439929458117
1089,926925,서울특별시 강남구 논현동,37.5099438963,127.0366775661,1층,10640.0,861.0,56.4,90486.5,90985.75,88258.75,349.3674470553856,143.47020460725048,12,0,0,0,0,0,0,2,4,18,0.20670293543233828,0.38287439929458117
1090,541933,서울특별시 강남구 논현동,37.5099438963,127.0366775661,지하2층,9738.0,421.0,62.0,90486.5,90985.75,88258.75,349.3674470553856,143.47020460725048,12,0,0,0,0,0,0,2,4,18,0.20670293543233828,0.38287439929458117
1091,843497,서울특별시 강남구 논현동,37.5094354556,127.0236341813,1층,2000.0,180.0,4.9,54920.75,80063.75,58347.5,262.8902470600682,110.3684899285375,11,1,0,3,1,0,0,4,2,27,0.32061072572577365,0.3821278567973776
1092,906672,서울특별시 강남구 논현동,37.5068419176842,127.028136211509,1층,20000.0,1900.0,141.3,589152.0,788268.0,560948.125,550.0821849552766,157.96564290081704,2,0,0,0,1,0,0,1,1,18,0.3505183237160755,0.38179001527494427
1093,920790,서울특별시 강남구 논현동,37.5068419176842,127.028136211509,2층,5000.0,400.0,32.9,589152.0,788268.0,560948.125,550.0821849552766,157.96564290081704,2,0,0,0,1,0,0,1,1,18,0.3505183237160755,0.38179001527494427
1094,924886,서울특별시 강남구 논현동,37.5068419176842,127.028136211509,지하1층,3000.0,200.0,25.9,589152.0,788268.0,560948.125,550.0821849552766,157.96564290081704,2,0,0,0,1,0,0,1,1,18,0.3505183237160755,0.38179001527494427
1095,562548,서울특별시 강남구 논현동,37.5160917138,127.0386668547,1층,15000.0,750.0,28.0,316236.0,342827.25,274934.6875,263.76888630866165,148.48791495456015,14,0,2,0,0,0,0,2,1,23,0.2982388843436379,0.38118532040811104
1096,917036,서울특별시 강남구 논현동,37.5152877442891,127.02128611073,1층,30000.0,2500.0,177.5,30279.75,30063.25,30004.625,152.97239333010685,107.4109788103247,16,0,1,0,0,0,0,3,2,24,0.22913321872602868,0.3778357019293664
1097,902029,서울특별시 강남구 논현동,37.5148816201,127.0210162231,지하1층,10000.0,700.0,75.0,30279.75,30063.25,30004.625,182.7026779431633,91.73919387565485,15,0,1,1,0,0,0,3,2,22,0.23789710593931243,0.37751090829898715
1098,886892,서울특별시 강남구 논현동,37.5148816201,127.0210162231,지하1층,3000.0,270.0,28.0,30279.75,30063.25,30004.625,182.7026779431633,91.73919387565485,15,0,1,1,0,0,0,3,2,22,0.23789710593931243,0.37751090829898715
1099,844462,서울특별시 강남구 논현동,37.5148816201,127.0210162231,1층,6000.0,350.0,21.0,30279.75,30063.25,30004.625,182.7026779431633,91.73919387565485,15,0,1,1,0,0,0,3,2,22,0.23789710593931243,0.37751090829898715
1100,924811,서울특별시 강남구 논현동,37.5097272961752,127.024055021293,1층,2000.0,150.0,7.0,54920.75,80063.75,58347.5,268.314611975229,153.24727728856735,10,1,0,3,1,0,0,3,2,30,0.31016464869783605,0.3762482001906291
1101,755923,서울특별시 강남구 논현동,37.5184597604,127.0380210447,지하1층,0.0,0.0,5.0,275094.25,298698.75,253435.3125,323.6411745021729,232.79756095880063,9,0,1,0,0,0,0,1,2,18,0.24651714724110496,0.37491815911638093
1102,807275,서울특별시 강남구 논현동,37.5184597604,127.0380210447,지하1층,2500.0,130.0,6.0,275094.25,298698.75,253435.3125,323.6411745021729,232.79756095880063,9,0,1,0,0,0,0,1,2,18,0.24651714724110496,0.37491815911638093
1103,843574,서울특별시 강남구 역삼동,37.5057141009,127.0321334716,1층,5000.0,500.0,25.4,71272.75,67426.25,71515.375,270.97540948820745,108.0759239295306,14,0,1,2,0,0,0,1,0,19,0.23930370823682212,0.372827540071431
1104,550363,서울특별시 강남구 논현동,37.5197809646,127.0306779995,4층,8000.0,450.0,50.0,265091.5,267129.0,233949.25,622.6950887523826,58.758799293832965,13,1,0,3,1,0,0,3,2,19,0.3560151383548418,0.37056780337327383
1105,843558,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,2000.0,210.0,21.9,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1106,841993,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,2000.0,180.0,11.5,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1107,541204,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,5000.0,350.0,9.3,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1108,541205,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,3000.0,250.0,9.3,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1109,541203,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,3000.0,260.0,21.9,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1110,541202,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,5000.0,380.0,16.1,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1111,892657,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,1층,3000.0,250.0,12.4,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1112,926284,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,1층,2000.0,200.0,10.0,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1113,541206,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,5000.0,220.0,8.5,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1114,541207,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,5000.0,280.0,8.5,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1115,785928,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,3000.0,230.0,14.1,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1116,807623,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,1층,3000.0,270.0,14.3,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1117,925379,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,4000.0,294.0,16.1,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1118,757792,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,1층,10000.0,360.0,11.9,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1119,879520,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,1층,2000.0,200.0,8.7,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1120,717766,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,5000.0,250.0,14.0,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1121,541208,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,1층,5000.0,250.0,8.6,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1122,690765,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,1층,3000.0,245.0,7.0,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1123,717767,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,5000.0,250.0,14.0,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1124,541213,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,5000.0,300.0,14.0,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1125,541212,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,지하1층,5000.0,300.0,12.0,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1126,541211,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,1층,5000.0,400.0,10.1,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1127,541209,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,1층,10000.0,550.0,16.4,90486.5,90985.75,88258.75,392.70854834577534,60.70276146296228,9,0,0,1,0,0,0,0,4,9,0.2172057287597545,0.36947280271827326
1128,924214,서울특별시 강남구 논현동,37.5174405314,127.0357582089,1층,10000.0,650.0,34.0,275094.25,298698.75,253435.3125,493.0277070473455,47.29278150425733,11,1,0,0,1,0,0,3,2,14,0.3377036402507577,0.36716204702956173
1129,920839,서울특별시 강남구 논현동,37.5174405314,127.0357582089,4층,5000.0,175.0,33.0,275094.25,298698.75,253435.3125,493.0277070473455,47.29278150425733,11,1,0,0,1,0,0,3,2,14,0.3377036402507577,0.36716204702956173
1130,919586,서울특별시 강남구 논현동,37.5174405314,127.0357582089,4층,5000.0,175.0,33.0,275094.25,298698.75,253435.3125,493.0277070473455,47.29278150425733,11,1,0,0,1,0,0,3,2,14,0.3377036402507577,0.36716204702956173
1131,911033,서울특별시 강남구 논현동,37.5193376569824,127.030732115014,1층,2000.0,150.0,17.0,265091.5,267129.0,233949.25,573.2598494261714,106.87471527757415,12,1,0,2,1,0,0,2,2,22,0.33832021913380583,0.36616091099688963
1132,921145,서울특별시 강남구 논현동,37.5157495875,127.0378794091,3층,20000.0,1500.0,130.0,316236.0,342827.25,274934.6875,343.33162358453603,130.67627388626283,9,0,2,0,0,0,0,3,2,21,0.2931351141633399,0.3659271876837474
1133,925024,서울특별시 강남구 논현동,37.5184742939,127.0376545514,지하1층,5000.0,340.0,37.0,275094.25,298698.75,253435.3125,353.865442265247,241.18883446890948,6,0,1,0,0,0,0,1,2,17,0.23871767086838164,0.3656058006906283
1134,893874,서울특별시 강남구 역삼동,37.5041216040012,127.03100986052,2층,50000.0,3800.0,222.0,71272.75,67426.25,71515.375,469.7812615897553,234.92366798869753,3,0,0,0,0,0,0,1,0,22,0.1570856078138077,0.36385906743583013
1135,846484,서울특별시 강남구 역삼동,37.5041216040012,127.03100986052,1층,50000.0,4100.0,223.0,71272.75,67426.25,71515.375,469.7812615897553,234.92366798869753,3,0,0,0,0,0,0,1,0,22,0.1570856078138077,0.36385906743583013
1136,893852,서울특별시 강남구 논현동,37.5172055523225,127.038056605303,1층,5000.0,500.0,20.0,316236.0,342827.25,274934.6875,288.14609522435035,169.57253303178595,11,0,2,0,0,0,0,2,1,19,0.28690487822615307,0.3615122426266988
1137,864903,서울특별시 강남구 논현동,37.5172055523225,127.038056605303,1층,5000.0,500.0,25.0,316236.0,342827.25,274934.6875,288.14609522435035,169.57253303178595,11,0,2,0,0,0,0,2,1,19,0.28690487822615307,0.3615122426266988
1138,870408,서울특별시 강남구 논현동,37.5194386326,127.0304878195,1층,6000.0,460.0,46.5,265091.5,267129.0,233949.25,587.2049687955765,99.84985267937604,12,1,0,2,1,0,0,2,2,20,0.33771302568379613,0.35997293849533757
1139,744035,서울특별시 강남구 논현동,37.5101594511537,127.02561148401,1층,1500.0,150.0,12.0,388874.5,478718.0,397097.625,369.5521834574654,267.29956278266053,5,0,0,3,1,0,0,2,3,28,0.3237020621332098,0.3599054713902282
1140,585533,서울특별시 강남구 논현동,37.5147937134,127.0403266682,4층,7000.0,460.0,49.0,44561.0,47293.25,40385.9375,279.6369027916772,149.37360020170394,13,1,2,0,0,0,0,1,1,22,0.26811213159326963,0.35892393641475995
1141,913673,서울특별시 강남구 논현동,37.5197954252,127.0305060638,4층,3000.0,250.0,34.0,265091.5,267129.0,233949.25,626.180432532777,62.37552440651648,13,1,0,2,1,0,0,3,3,19,0.34690095373949176,0.35803862778023504
1142,924564,서울특별시 강남구 논현동,37.5197954252,127.0305060638,5층,2000.0,250.0,34.0,265091.5,267129.0,233949.25,626.180432532777,62.37552440651648,13,1,0,2,1,0,0,3,3,19,0.34690095373949176,0.35803862778023504
1143,917093,서울특별시 강남구 논현동,37.5174644743216,127.027034716978,2층,30000.0,650.0,40.0,77018.25,74138.75,64978.5,534.2938507581957,151.11257046347438,10,0,0,3,0,0,0,1,2,12,0.20646180325138033,0.3541635027476448
1144,898679,서울특별시 강남구 논현동,37.5197121108,127.0320987505,2층,7000.0,640.0,59.3,265091.5,267129.0,233949.25,613.7264329771775,130.8064027502025,14,1,0,2,1,0,0,3,1,19,0.3321977557963232,0.35385269251155993
1145,923672,서울특별시 강남구 논현동,37.5197121108,127.0320987505,4층,3000.0,290.0,22.0,265091.5,267129.0,233949.25,613.7264329771775,130.8064027502025,14,1,0,2,1,0,0,3,1,19,0.3321977557963232,0.35385269251155993
1146,922462,서울특별시 강남구 논현동,37.5197121108,127.0320987505,4층,3000.0,290.0,22.0,265091.5,267129.0,233949.25,613.7264329771775,130.8064027502025,14,1,0,2,1,0,0,3,1,19,0.3321977557963232,0.35385269251155993
