listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score,rank
918202,서울특별시 강남구 역삼동,37.5073303185809,127.038757000457,사무실,월세,0,0,30000000,3000000,0,73.8843,5,T,3110965,11680640,129679.0,133226.0,146047.5,0,0,0,0,394.70051525131714,61.067536290491645,14,1,0.19999999999999996,0,2,4,21,3000000,0.46449987534607867,48739745.18181819,1.0,9.739999459491244,15.0,24.739999459491244,0.5300945061997951,64.49708742447588,1226
918199,서울특별시 강남구 논현동,37.5116326046162,127.029430485316,사무실,월세,0,0,50000000,4400000,300000,115.7025,3,T,3120191,11680521,378147.0,391751.0,381067.3125,0,0,0,0,337.7437412621027,224.89992653421263,9,1,0.6,0,1,3,17,4700000,0.8773992748294834,79346361.36363637,1.0,9.508881922675027,15.0,24.508881922675027,0.8282821196939554,86.63004089972168,422
918384,서울특별시 강남구 논현동,37.5129102399,127.0359053515,사무실,월세,0,0,60000000,3800000,1200000,122.314,5,T,3120196,11680531,138882.5,141915.5,142196.125,0,2,0,0,417.4247574960992,97.02418278946993,9,1,0.19999999999999996,0,1,3,11,5000000,1.015840930654676,91023278.18181819,1.0,9.431390178857745,15.0,24.431390178857747,0.5228685111765032,63.64652851709549,1233
916488,서울특별시 강남구 논현동,37.5111075059584,127.025528787866,기타,월세,0,0,10000000,970000,100000,29.75,1,T,3110952,11680521,24209.75,30471.75,38946.9375,0,2,1,0,341.58141648780565,199.60969164996266,6,1,1.0,0,0,3,29,1070000,0.19974834554628665,17545681.81818182,1.0,9.888192267502612,15.0,24.88819226750261,0.5505861934458373,66.1821567759404,1207
916814,서울특별시 강남구 역삼동,37.5061097843,127.0348118215,사무실,월세,0,0,100000000,5500000,1100000,255.5372,4,T,3120194,11680640,319506.5,309264.5,303520.875,1,2,0,0,155.63248158786163,35.97705394668372,18,1,0.3999999999999999,0,2,3,28,6600000,1.0218997257613731,164813526.1818182,0.7280955803810604,9.427998810880737,10.921433705715906,20.349432516596643,0.738445540883994,75.7328480828962,977
915730,서울특별시 강남구 논현동,37.5071853999561,127.028804424818,미용/네일/피부관리,월세,0,0,50000000,4800000,500000,145.4545,3,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,484.2715710320897,186.1757661752355,4,1,0.6,0,1,1,18,5300000,0.9894076928928218,86892550.45454545,1.0,9.446185997910137,15.0,24.446185997910135,0.8017476479566247,84.577259594657,564
916781,서울특별시 강남구 역삼동,37.507038726841,127.037725714892,사무실,월세,0,0,50000000,5000000,1000000,158.6777,4,T,3120194,11680640,319506.5,309264.5,303520.875,0,1,0,0,306.8769860121801,140.06542123676712,13,1,0.3999999999999999,0,2,5,23,6000000,0.9289997506921573,90246434.81818181,1.0,9.479998918982488,15.0,24.47999891898249,0.7533481577187436,80.98111074788827,751
916776,서울특별시 강남구 역삼동,37.5075775980644,127.037220198197,사무실,월세,0,0,50000000,4000000,500000,104.4628,3,T,3120194,11680640,319506.5,309264.5,303520.875,1,1,0,0,259.3498913781702,111.59155701598583,17,1,0.6,0,2,4,25,4500000,0.696749813019118,76495564.72727272,1.0,9.609999189236866,15.0,24.609999189236866,0.805906533504743,85.05298920209259,538
918195,서울특별시 강남구 논현동,37.5150625915,127.0333319457,사무실,월세,0,0,40000000,2050000,530000,105.7851,4,T,3120191,11680531,378147.0,391751.0,381067.3125,0,3,0,0,190.29830259119979,115.90514645659862,16,1,0.3999999999999999,0,3,3,26,2580000,0.5241739202178128,66830948.09090909,1.0,9.706597332290595,15.0,24.706597332290595,0.8034377246293207,84.96442667948965,543
911973,서울특별시 강남구 역삼동,37.5059517596115,127.032884548121,기타,월세,0,0,40000000,3600000,400000,148.76,3,T,3120194,11680640,319506.5,309264.5,303520.875,1,2,0,0,206.9832212334752,140.32592491396466,14,1,0.6,0,1,1,27,4000000,0.6193331671281049,77730945.45454545,1.0,9.653332612654992,15.0,24.653332612654992,0.7789502203696318,83.07459914037739,649
910490,서울특별시 강남구 논현동,37.5085717379361,127.034649531626,사무실,월세,0,0,30000000,2500000,350000,55.59,4,T,3120194,11680531,319506.5,309264.5,303520.875,1,3,0,0,129.30068811980942,92.59814235198628,15,1,0.3999999999999999,0,1,3,26,2850000,0.5790293304731653,44099645.45454545,1.0,9.675892401948914,15.0,24.675892401948914,0.7386535899784696,80.07491165033414,788
914557,서울특별시 강남구 역삼동,37.5079337330229,127.038168392484,기타,월세,0,0,30000000,3000000,250000,43.3499,1,T,3120199,11680640,90486.5,90985.75,88258.75,0,0,0,0,346.8463016447923,67.35267205738235,14,1,1.0,0,2,5,19,3250000,0.5032081982915853,40995111.0,1.0,9.718332747782181,15.0,24.71833274778218,0.6675592952103651,74.78527988855956,1011
921918,서울특별시 강남구 논현동,37.5080795744,127.027212295,미용/네일/피부관리,월세,0,45000000,40000000,2300000,440000,49.5868,1,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,600.2795590814509,316.8045919346908,1,1,1.0,0,0,3,24,2740000,0.5115051091559116,97577015.63636364,1.0,9.713688610240334,15.0,24.713688610240332,0.7963413915590748,84.43929297717094,575
