listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score,rank
888652,서울특별시 강남구 역삼동,37.5062293031,127.0327625229,기타,월세,0,0,20000000,1200000,50000,52.89,3.0,T,3120194,11680640,319506.5,309264.5,303520.875,1,2,0,0,190.5705015202703,112.99983613706681,14,1,0.6,0,1,2,30,1250000,0.19354161472753278,33414827.272727273,1.0,9.89148220070886,15.0,24.891482200708857,0.78743736702334,83.94928472745936,553
828249,서울특별시 강남구 논현동,37.5170397937,127.0243062221,기타,월세,0,0,20000000,1900000,190000,66.1,4.0,T,3120178,11680521,568765.0,648546.5,510767.5,0,2,0,0,357.4045701540104,193.1290568313656,4,1,0.3999999999999999,0,2,3,15,2090000,0.38950024087831847,36765363.63636363,1.0,9.781609195402298,15.0,24.781609195402297,0.7979071934125057,84.62464870134022,503
903405,서울특별시 강남구 신사동,37.5209605979,127.0260043126,기타,월세,0,0,20000000,2000000,0,66.12,2.0,T,3120190,11680510,265091.5,267129.0,233949.25,0,1,0,0,646.28597872649,230.5304605396081,10,1,0.8,0,0,2,30,2000000,0.35372186142592354,36770436.36363637,1.0,9.801669950841603,15.0,24.801669950841603,0.7427003734347581,80.50419795844846,732
924695,서울특별시 서초구 잠원동,37.5144406772564,127.019386390307,미용/네일/피부관리,월세,0,10000,100000000,2500000,200000,33.06,1.0,T,3120178,11650540,568765.0,648546.5,510767.5,0,0,0,0,236.5005808684061,69.49406557695464,17,1,1.0,0,2,1,19,2700000,0.6167428077540438,108395218.18181819,1.0,9.65419544359838,15.0,24.654195443598383,0.9583931329499216,96.5336804148425,3
925529,서울특별시 강남구 논현동,37.5128441633464,127.039669587088,기타,월세,0,0,40000000,3000000,70000,72.73,1.0,T,3110970,11680531,50728.5,55023.25,53805.3125,0,0,1,0,414.3473504529421,266.74418316882304,3,1,1.0,0,0,0,14,3070000,0.6205602079122148,58446972.727272734,1.0,9.652055046739743,15.0,24.652055046739743,0.5356215539666367,64.8236715942375,1200
925507,서울특별시 강남구 논현동,37.5125213299,127.0348238479,기타,월세,0,0,30000000,3000000,30000,82.64,1.0,T,3120196,11680531,138882.5,141915.5,142196.125,0,2,0,0,350.62897812311104,117.62881344559779,8,1,1.0,0,1,3,13,3030000,0.6124747328905573,50960509.09090909,1.0,9.656588531472776,15.0,24.656588531472778,0.7030293882011143,77.38379264655634,870
920868,서울특별시 강남구 논현동,37.5174163103834,127.032260653953,사무실,월세,0,0,50000000,3630000,860000,99.17,3.0,T,3110957,11680531,170020.75,157445.0,156660.375,0,0,1,0,363.77728788927806,256.5934909735389,6,1,0.6,0,1,1,25,4490000,0.9075945711810569,75153118.18181819,1.0,9.491116338717084,15.0,24.491116338717084,0.5922675279470547,68.9111809347462,1121
924707,서울특별시 강남구 논현동,37.5101487766,127.0249690444,기타,월세,0,0,10000000,1150000,0,36.36,5.0,T,3130303,11680521,54920.75,80063.75,58347.5,0,3,1,0,314.5355232170527,230.93182068013542,7,1,0.19999999999999996,0,3,3,30,1150000,0.21431831435888335,19222218.18181818,1.0,9.879832810867294,15.0,24.879832810867292,0.3953085988781597,54.527977726729276,1300
911704,서울특별시 서초구 반포동,37.5091657898,127.020209324,사무실,월세,0,0,30000000,2400000,100000,62.81,5.0,T,3120176,11650560,207573.5,269048.0,346445.0625,0,2,0,0,259.67225587601035,152.88044420743412,8,1,0.19999999999999996,0,3,3,25,2500000,0.4189275454835621,45930900.0,1.0,9.765109455336955,15.0,24.765109455336955,0.6444565601779018,73.09935146867959,1033
892061,서울특별시 강남구 논현동,37.5121487196,127.0262908114,기타,월세,0,0,25000000,1600000,200000,44.0,3.0,T,3120191,11680521,378147.0,391751.0,381067.3125,0,2,0,0,422.0706894405256,251.09666919359626,6,1,0.6,0,0,1,25,1800000,0.33545475290955656,36160000.0,1.0,9.81191222570533,15.0,24.811912225705328,0.8104909039992861,85.59873002565179,434
